Parti, Kandidat, Spørgsmål, Svar
B, Philip Tarning-Andersen, 7, 3
B, Philip Tarning-Andersen, 8, 4
B, Philip Tarning-Andersen, 9, 1
B, Philip Tarning-Andersen, 10, 1
B, Philip Tarning-Andersen, 11, 3
B, Philip Tarning-Andersen, 12, 3
B, Philip Tarning-Andersen, 13, 1
B, Philip Tarning-Andersen, 14, 1
B, Philip Tarning-Andersen, 15, 3
B, Philip Tarning-Andersen, 16, 3
B, Philip Tarning-Andersen, 17, 4
B, Philip Tarning-Andersen, 18, 1
B, Philip Tarning-Andersen, 19, 2
B, Philip Tarning-Andersen, 20, 4
B, Philip Tarning-Andersen, 21, 4
B, Philip Tarning-Andersen, 22, 3
B, Philip Tarning-Andersen, 23, 2
B, Philip Tarning-Andersen, 24, 2
B, Philip Tarning-Andersen, 25, 4
B, Anne-Sofie Sadolin Henningsen, 1, 4
B, Anne-Sofie Sadolin Henningsen, 2, 1
B, Anne-Sofie Sadolin Henningsen, 3, 3
B, Anne-Sofie Sadolin Henningsen, 4, 4
B, Anne-Sofie Sadolin Henningsen, 5, 4
B, Anne-Sofie Sadolin Henningsen, 6, 3
B, Anne-Sofie Sadolin Henningsen, 7, 3
B, Anne-Sofie Sadolin Henningsen, 8, 4
B, Anne-Sofie Sadolin Henningsen, 9, 1
B, Anne-Sofie Sadolin Henningsen, 10, 2
B, Anne-Sofie Sadolin Henningsen, 11, 3
B, Anne-Sofie Sadolin Henningsen, 12, 3
B, Anne-Sofie Sadolin Henningsen, 13, 3
B, Anne-Sofie Sadolin Henningsen, 14, 1
B, Anne-Sofie Sadolin Henningsen, 15, 3
B, Anne-Sofie Sadolin Henningsen, 16, 4
B, Anne-Sofie Sadolin Henningsen, 17, 4
B, Anne-Sofie Sadolin Henningsen, 18, 1
B, Anne-Sofie Sadolin Henningsen, 19, 3
B, Anne-Sofie Sadolin Henningsen, 20, 3
B, Anne-Sofie Sadolin Henningsen, 21, 3
B, Anne-Sofie Sadolin Henningsen, 22, 3
B, Anne-Sofie Sadolin Henningsen, 23, 2
B, Anne-Sofie Sadolin Henningsen, 24, 3
B, Anne-Sofie Sadolin Henningsen, 25, 3
B, Charlotte Amdi Burgess, 1, 4
B, Charlotte Amdi Burgess, 2, 1
B, Charlotte Amdi Burgess, 3, 3
B, Charlotte Amdi Burgess, 4, 4
B, Charlotte Amdi Burgess, 5, 4
B, Charlotte Amdi Burgess, 6, 4
B, Charlotte Amdi Burgess, 7, 2
B, Charlotte Amdi Burgess, 8, 4
B, Charlotte Amdi Burgess, 9, 1
B, Charlotte Amdi Burgess, 10, 1
B, Charlotte Amdi Burgess, 11, 4
B, Charlotte Amdi Burgess, 12, 2
B, Charlotte Amdi Burgess, 13, 3
B, Charlotte Amdi Burgess, 14, 1
B, Charlotte Amdi Burgess, 15, 3
B, Charlotte Amdi Burgess, 16, 4
B, Charlotte Amdi Burgess, 17, 4
B, Charlotte Amdi Burgess, 18, 2
B, Charlotte Amdi Burgess, 19, 4
B, Charlotte Amdi Burgess, 20, 3
B, Charlotte Amdi Burgess, 21, 4
B, Charlotte Amdi Burgess, 22, 4
B, Charlotte Amdi Burgess, 23, 2
B, Charlotte Amdi Burgess, 24, 2
B, Charlotte Amdi Burgess, 25, 4
B, Kathrine Olldag, 1, 4
B, Kathrine Olldag, 2, 1
B, Kathrine Olldag, 3, 3
B, Kathrine Olldag, 4, 4
B, Kathrine Olldag, 5, 4
B, Kathrine Olldag, 6, 3
B, Kathrine Olldag, 7, 2
B, Kathrine Olldag, 8, 3
B, Kathrine Olldag, 9, 1
B, Kathrine Olldag, 10, 2
B, Kathrine Olldag, 11, 3
B, Kathrine Olldag, 12, 3
B, Kathrine Olldag, 13, 2
B, Kathrine Olldag, 14, 1
B, Kathrine Olldag, 15, 3
B, Kathrine Olldag, 16, 3
B, Kathrine Olldag, 17, 4
B, Kathrine Olldag, 18, 2
B, Kathrine Olldag, 19, 3
B, Kathrine Olldag, 20, 4
B, Kathrine Olldag, 21, 4
B, Kathrine Olldag, 22, 3
B, Kathrine Olldag, 23, 3
B, Kathrine Olldag, 24, 2
B, Kathrine Olldag, 25, 4
B, Frederik Aagaard Sørensen, 1, 4
B, Frederik Aagaard Sørensen, 2, 1
B, Frederik Aagaard Sørensen, 3, 3
B, Frederik Aagaard Sørensen, 4, 3
B, Frederik Aagaard Sørensen, 5, 3
B, Frederik Aagaard Sørensen, 6, 3
B, Frederik Aagaard Sørensen, 7, 2
B, Frederik Aagaard Sørensen, 8, 4
B, Frederik Aagaard Sørensen, 9, 1
B, Frederik Aagaard Sørensen, 10, 3
B, Frederik Aagaard Sørensen, 11, 4
B, Frederik Aagaard Sørensen, 12, 4
B, Frederik Aagaard Sørensen, 13, 3
B, Frederik Aagaard Sørensen, 14, 2
B, Frederik Aagaard Sørensen, 15, 3
B, Frederik Aagaard Sørensen, 16, 3
B, Frederik Aagaard Sørensen, 17, 4
B, Frederik Aagaard Sørensen, 18, 2
B, Frederik Aagaard Sørensen, 19, 3
B, Frederik Aagaard Sørensen, 20, 3
B, Frederik Aagaard Sørensen, 21, 3
B, Frederik Aagaard Sørensen, 22, 3
B, Frederik Aagaard Sørensen, 23, 2
B, Frederik Aagaard Sørensen, 24, 3
B, Frederik Aagaard Sørensen, 25, 3
B, Hediye Temiz, 1, 4
B, Hediye Temiz, 2, 1
B, Hediye Temiz, 3, 2
B, Hediye Temiz, 4, 3
B, Hediye Temiz, 5, 3
B, Hediye Temiz, 6, 3
B, Hediye Temiz, 7, 3
B, Hediye Temiz, 8, 3
B, Hediye Temiz, 9, 2
B, Hediye Temiz, 10, 2
B, Hediye Temiz, 11, 3
B, Hediye Temiz, 12, 3
B, Hediye Temiz, 13, 2
B, Hediye Temiz, 14, 2
B, Hediye Temiz, 15, 2
B, Hediye Temiz, 16, 3
B, Hediye Temiz, 17, 3
B, Hediye Temiz, 18, 2
B, Hediye Temiz, 19, 1
B, Hediye Temiz, 20, 2
B, Hediye Temiz, 21, 3
B, Hediye Temiz, 22, 3
B, Hediye Temiz, 23, 2
B, Hediye Temiz, 24, 2
B, Hediye Temiz, 25, 4
B, Jens Frost, 1, 4
B, Jens Frost, 2, 1
B, Jens Frost, 3, 3
B, Jens Frost, 4, 4
B, Jens Frost, 5, 4
B, Jens Frost, 6, 3
B, Jens Frost, 7, 2
B, Jens Frost, 8, 4
B, Jens Frost, 9, 1
B, Jens Frost, 10, 2
B, Jens Frost, 11, 3
B, Jens Frost, 12, 3
B, Jens Frost, 13, 2
B, Jens Frost, 14, 2
B, Jens Frost, 15, 3
B, Jens Frost, 16, 3
B, Jens Frost, 17, 4
B, Jens Frost, 18, 2
B, Jens Frost, 19, 3
B, Jens Frost, 20, 3
B, Jens Frost, 21, 4
B, Jens Frost, 22, 3
B, Jens Frost, 23, 3
B, Jens Frost, 24, 2
B, Jens Frost, 25, 4
B, João A. B. R. Møller, 1, 4
B, João A. B. R. Møller, 2, 1
B, João A. B. R. Møller, 3, 4
B, João A. B. R. Møller, 4, 4
B, João A. B. R. Møller, 5, 4
B, João A. B. R. Møller, 6, 3
B, João A. B. R. Møller, 7, 2
B, João A. B. R. Møller, 8, 4
B, João A. B. R. Møller, 9, 1
B, João A. B. R. Møller, 10, 4
B, João A. B. R. Møller, 11, 1
B, João A. B. R. Møller, 12, 1
B, João A. B. R. Møller, 13, 1
B, João A. B. R. Møller, 14, 1
B, João A. B. R. Møller, 15, 2
B, João A. B. R. Møller, 16, 4
B, João A. B. R. Møller, 17, 4
B, João A. B. R. Møller, 18, 2
B, João A. B. R. Møller, 19, 1
B, João A. B. R. Møller, 20, 4
B, João A. B. R. Møller, 21, 4
B, João A. B. R. Møller, 22, 3
B, João A. B. R. Møller, 23, 2
B, João A. B. R. Møller, 24, 1
B, João A. B. R. Møller, 25, 4
B, Jan Werner Mathiasen, 1, 4
B, Jan Werner Mathiasen, 2, 1
B, Jan Werner Mathiasen, 3, 2
B, Jan Werner Mathiasen, 4, 4
B, Jan Werner Mathiasen, 5, 2
B, Jan Werner Mathiasen, 6, 4
B, Jan Werner Mathiasen, 7, 3
B, Jan Werner Mathiasen, 8, 4
B, Jan Werner Mathiasen, 9, 1
B, Jan Werner Mathiasen, 10, 1
B, Jan Werner Mathiasen, 11, 4
B, Jan Werner Mathiasen, 12, 3
B, Jan Werner Mathiasen, 13, 2
B, Jan Werner Mathiasen, 14, 2
B, Jan Werner Mathiasen, 15, 2
B, Jan Werner Mathiasen, 16, 4
B, Jan Werner Mathiasen, 17, 4
B, Jan Werner Mathiasen, 18, 2
B, Jan Werner Mathiasen, 19, 3
B, Jan Werner Mathiasen, 20, 3
B, Jan Werner Mathiasen, 21, 3
B, Jan Werner Mathiasen, 22, 3
B, Jan Werner Mathiasen, 23, 3
B, Jan Werner Mathiasen, 24, 3
B, Jan Werner Mathiasen, 25, 4
B, Kim Pagels, 1, 4
B, Kim Pagels, 2, 1
B, Kim Pagels, 3, 3
B, Kim Pagels, 4, 3
B, Kim Pagels, 5, 3
B, Kim Pagels, 6, 3
B, Kim Pagels, 7, 2
B, Kim Pagels, 8, 4
B, Kim Pagels, 9, 2
B, Kim Pagels, 10, 2
B, Kim Pagels, 11, 3
B, Kim Pagels, 12, 3
B, Kim Pagels, 13, 3
B, Kim Pagels, 14, 1
B, Kim Pagels, 15, 2
B, Kim Pagels, 16, 3
B, Kim Pagels, 17, 3
B, Kim Pagels, 18, 2
B, Kim Pagels, 19, 3
B, Kim Pagels, 20, 3
B, Kim Pagels, 21, 3
B, Kim Pagels, 22, 3
B, Kim Pagels, 23, 2
B, Kim Pagels, 24, 2
B, Kim Pagels, 25, 3
B, Finn Hartvig Nielsen, 1, 4
B, Finn Hartvig Nielsen, 2, 1
B, Finn Hartvig Nielsen, 3, 3
B, Finn Hartvig Nielsen, 4, 3
B, Finn Hartvig Nielsen, 5, 3
B, Finn Hartvig Nielsen, 6, 3
B, Finn Hartvig Nielsen, 7, 1
B, Finn Hartvig Nielsen, 8, 4
B, Finn Hartvig Nielsen, 9, 1
B, Finn Hartvig Nielsen, 10, 1
B, Finn Hartvig Nielsen, 11, 3
B, Finn Hartvig Nielsen, 12, 3
B, Finn Hartvig Nielsen, 13, 1
B, Finn Hartvig Nielsen, 14, 2
B, Finn Hartvig Nielsen, 15, 2
B, Finn Hartvig Nielsen, 16, 4
B, Finn Hartvig Nielsen, 17, 4
B, Finn Hartvig Nielsen, 18, 1
B, Finn Hartvig Nielsen, 19, 3
B, Finn Hartvig Nielsen, 20, 4
B, Finn Hartvig Nielsen, 21, 4
B, Finn Hartvig Nielsen, 22, 3
B, Finn Hartvig Nielsen, 23, 4
B, Finn Hartvig Nielsen, 24, 2
B, Finn Hartvig Nielsen, 25, 4
B, Sissel Van Run-Kvist, 1, 4
B, Sissel Van Run-Kvist, 2, 1
B, Sissel Van Run-Kvist, 3, 3
B, Sissel Van Run-Kvist, 4, 4
B, Sissel Van Run-Kvist, 5, 4
B, Sissel Van Run-Kvist, 6, 3
B, Sissel Van Run-Kvist, 7, 2
B, Sissel Van Run-Kvist, 8, 3
B, Sissel Van Run-Kvist, 9, 2
B, Sissel Van Run-Kvist, 10, 2
B, Sissel Van Run-Kvist, 11, 3
B, Sissel Van Run-Kvist, 12, 3
B, Sissel Van Run-Kvist, 13, 3
B, Sissel Van Run-Kvist, 14, 1
B, Sissel Van Run-Kvist, 15, 2
B, Sissel Van Run-Kvist, 16, 3
B, Sissel Van Run-Kvist, 17, 3
B, Sissel Van Run-Kvist, 18, 2
B, Sissel Van Run-Kvist, 19, 3
B, Sissel Van Run-Kvist, 20, 4
B, Sissel Van Run-Kvist, 21, 4
B, Sissel Van Run-Kvist, 22, 3
B, Sissel Van Run-Kvist, 23, 3
B, Sissel Van Run-Kvist, 24, 2
B, Sissel Van Run-Kvist, 25, 4
B, Martin Schepelern, 1, 4
B, Martin Schepelern, 2, 1
B, Martin Schepelern, 3, 4
B, Martin Schepelern, 4, 4
B, Martin Schepelern, 5, 3
B, Martin Schepelern, 6, 2
B, Martin Schepelern, 7, 3
B, Martin Schepelern, 8, 3
B, Martin Schepelern, 9, 2
B, Martin Schepelern, 10, 3
B, Martin Schepelern, 11, 3
B, Martin Schepelern, 12, 4
B, Martin Schepelern, 13, 4
B, Martin Schepelern, 14, 1
B, Martin Schepelern, 15, 4
B, Martin Schepelern, 16, 2
B, Martin Schepelern, 17, 3
B, Martin Schepelern, 18, 2
B, Martin Schepelern, 19, 3
B, Martin Schepelern, 20, 3
B, Martin Schepelern, 21, 4
B, Martin Schepelern, 22, 3
B, Martin Schepelern, 23, 2
B, Martin Schepelern, 24, 4
B, Martin Schepelern, 25, 3
B, Michael Flarup, 1, 4
B, Michael Flarup, 2, 1
B, Michael Flarup, 3, 2
B, Michael Flarup, 4, 3
B, Michael Flarup, 5, 3
B, Michael Flarup, 6, 2
B, Michael Flarup, 7, 2
B, Michael Flarup, 8, 3
B, Michael Flarup, 9, 1
B, Michael Flarup, 10, 2
B, Michael Flarup, 11, 3
B, Michael Flarup, 12, 3
B, Michael Flarup, 13, 2
B, Michael Flarup, 14, 3
B, Michael Flarup, 15, 2
B, Michael Flarup, 16, 3
B, Michael Flarup, 17, 3
B, Michael Flarup, 18, 3
B, Michael Flarup, 19, 2
B, Michael Flarup, 20, 4
B, Michael Flarup, 21, 3
B, Michael Flarup, 22, 3
B, Michael Flarup, 23, 3
B, Michael Flarup, 24, 3
B, Michael Flarup, 25, 3
B, Asmus Vilster, 1, 4
B, Asmus Vilster, 2, 1
B, Asmus Vilster, 3, 3
B, Asmus Vilster, 4, 4
B, Asmus Vilster, 5, 4
B, Asmus Vilster, 6, 3
B, Asmus Vilster, 7, 2
B, Asmus Vilster, 8, 4
B, Asmus Vilster, 9, 1
B, Asmus Vilster, 10, 2
B, Asmus Vilster, 11, 3
B, Asmus Vilster, 12, 3
B, Asmus Vilster, 13, 3
B, Asmus Vilster, 14, 1
B, Asmus Vilster, 15, 3
B, Asmus Vilster, 16, 3
B, Asmus Vilster, 17, 4
B, Asmus Vilster, 18, 2
B, Asmus Vilster, 19, 3
B, Asmus Vilster, 20, 3
B, Asmus Vilster, 21, 4
B, Asmus Vilster, 22, 3
B, Asmus Vilster, 23, 3
B, Asmus Vilster, 24, 2
B, Asmus Vilster, 25, 3
B, Nikolai Tange, 1, 4
B, Nikolai Tange, 2, 2
B, Nikolai Tange, 3, 3
B, Nikolai Tange, 4, 3
B, Nikolai Tange, 5, 3
B, Nikolai Tange, 6, 3
B, Nikolai Tange, 7, 4
B, Nikolai Tange, 8, 3
B, Nikolai Tange, 9, 2
B, Nikolai Tange, 10, 2
B, Nikolai Tange, 11, 3
B, Nikolai Tange, 12, 3
B, Nikolai Tange, 13, 3
B, Nikolai Tange, 14, 2
B, Nikolai Tange, 15, 3
B, Nikolai Tange, 16, 3
B, Nikolai Tange, 17, 3
B, Nikolai Tange, 18, 2
B, Nikolai Tange, 19, 2
B, Nikolai Tange, 20, 1
B, Nikolai Tange, 21, 4
B, Nikolai Tange, 22, 3
B, Nikolai Tange, 23, 2
B, Nikolai Tange, 24, 2
B, Nikolai Tange, 25, 3
B, Lars Fogh Mortensen, 1, 4
B, Lars Fogh Mortensen, 2, 1
B, Lars Fogh Mortensen, 3, 3
B, Lars Fogh Mortensen, 4, 3
B, Lars Fogh Mortensen, 5, 3
B, Lars Fogh Mortensen, 6, 2
B, Lars Fogh Mortensen, 7, 2
B, Lars Fogh Mortensen, 8, 4
B, Lars Fogh Mortensen, 9, 1
B, Lars Fogh Mortensen, 10, 3
B, Lars Fogh Mortensen, 11, 3
B, Lars Fogh Mortensen, 12, 3
B, Lars Fogh Mortensen, 13, 2
B, Lars Fogh Mortensen, 14, 2
B, Lars Fogh Mortensen, 15, 2
B, Lars Fogh Mortensen, 16, 2
B, Lars Fogh Mortensen, 17, 4
B, Lars Fogh Mortensen, 18, 2
B, Lars Fogh Mortensen, 19, 2
B, Lars Fogh Mortensen, 20, 4
B, Lars Fogh Mortensen, 21, 4
B, Lars Fogh Mortensen, 22, 3
B, Lars Fogh Mortensen, 23, 3
B, Lars Fogh Mortensen, 24, 2
B, Lars Fogh Mortensen, 25, 3
B, Lartey Lawson, 1, 4
B, Lartey Lawson, 2, 1
B, Lartey Lawson, 3, 3
B, Lartey Lawson, 4, 3
B, Lartey Lawson, 5, 4
B, Lartey Lawson, 6, 2
B, Lartey Lawson, 7, 3
B, Lartey Lawson, 8, 4
B, Lartey Lawson, 9, 1
B, Lartey Lawson, 10, 3
