Kandidat, Spørgsmål, Svar
Maria Radoor, 2, 2
Maria Radoor, 3, 4
Maria Radoor, 4, 4
Maria Radoor, 5, 3
Maria Radoor, 6, 2
Maria Radoor, 7, 2
Maria Radoor, 8, 3
Maria Radoor, 9, 1
Maria Radoor, 10, 3
Maria Radoor, 11, 1
Maria Radoor, 12, 3
Maria Radoor, 13, 3
Maria Radoor, 14, 1
Maria Radoor, 15, 3
Maria Radoor, 16, 3
Maria Radoor, 17, 4
Maria Radoor, 18, 2
Maria Radoor, 19, 4
Maria Radoor, 20, 3
Maria Radoor, 21, 3
Maria Radoor, 22, 2
Maria Radoor, 23, 3
Maria Radoor, 24, 3
Maria Radoor, 25, 2
Sigrid Friis, 1, 4
Sigrid Friis, 2, 1
Sigrid Friis, 3, 3
Sigrid Friis, 4, 4
Sigrid Friis, 5, 4
Sigrid Friis, 6, 4
Sigrid Friis, 7, 3
Sigrid Friis, 8, 3
Sigrid Friis, 9, 1
Sigrid Friis, 10, 2
Sigrid Friis, 11, 3
Sigrid Friis, 12, 3
Sigrid Friis, 13, 2
Sigrid Friis, 14, 1
Sigrid Friis, 15, 3
Sigrid Friis, 16, 3
Sigrid Friis, 17, 4
Sigrid Friis, 18, 2
Sigrid Friis, 19, 3
Sigrid Friis, 20, 4
Sigrid Friis, 21, 4
Sigrid Friis, 22, 3
Sigrid Friis, 23, 3
Sigrid Friis, 24, 2
Sigrid Friis, 25, 4
Anne Sophie Callesen, 1, 4
Anne Sophie Callesen, 2, 1
Anne Sophie Callesen, 3, 3
Anne Sophie Callesen, 4, 4
Anne Sophie Callesen, 5, 4
Anne Sophie Callesen, 6, 4
Anne Sophie Callesen, 7, 2
Anne Sophie Callesen, 8, 4
Anne Sophie Callesen, 9, 1
Anne Sophie Callesen, 10, 2
Anne Sophie Callesen, 11, 3
Anne Sophie Callesen, 12, 3
Anne Sophie Callesen, 13, 1
Anne Sophie Callesen, 14, 1
Anne Sophie Callesen, 15, 3
Anne Sophie Callesen, 16, 4
Anne Sophie Callesen, 17, 4
Anne Sophie Callesen, 18, 2
Anne Sophie Callesen, 19, 2
Anne Sophie Callesen, 20, 4
Anne Sophie Callesen, 21, 4
Anne Sophie Callesen, 22, 3
Anne Sophie Callesen, 23, 3
Anne Sophie Callesen, 24, 2
Anne Sophie Callesen, 25, 4
Philip Tarning-Andersen, 1, 4
Philip Tarning-Andersen, 2, 1
Philip Tarning-Andersen, 3, 3
Philip Tarning-Andersen, 4, 4
Philip Tarning-Andersen, 5, 4
Philip Tarning-Andersen, 6, 3
Philip Tarning-Andersen, 7, 3
Philip Tarning-Andersen, 8, 4
Philip Tarning-Andersen, 9, 1
Philip Tarning-Andersen, 10, 1
Philip Tarning-Andersen, 11, 3
Philip Tarning-Andersen, 12, 3
Philip Tarning-Andersen, 13, 1
Philip Tarning-Andersen, 14, 1
Philip Tarning-Andersen, 15, 3
Philip Tarning-Andersen, 16, 3
Philip Tarning-Andersen, 17, 4
Philip Tarning-Andersen, 18, 1
Philip Tarning-Andersen, 19, 2
Philip Tarning-Andersen, 20, 4
Philip Tarning-Andersen, 21, 4
Philip Tarning-Andersen, 22, 3
Philip Tarning-Andersen, 23, 2
Philip Tarning-Andersen, 24, 2
Philip Tarning-Andersen, 25, 4
Anne-Sofie Sadolin Henningsen, 1, 4
Anne-Sofie Sadolin Henningsen, 2, 1
Anne-Sofie Sadolin Henningsen, 3, 3
Anne-Sofie Sadolin Henningsen, 4, 4
Anne-Sofie Sadolin Henningsen, 5, 4
Anne-Sofie Sadolin Henningsen, 6, 3
Anne-Sofie Sadolin Henningsen, 7, 3
Anne-Sofie Sadolin Henningsen, 8, 4
Anne-Sofie Sadolin Henningsen, 9, 1
Anne-Sofie Sadolin Henningsen, 10, 2
Anne-Sofie Sadolin Henningsen, 11, 3
Anne-Sofie Sadolin Henningsen, 12, 3
Anne-Sofie Sadolin Henningsen, 13, 3
Anne-Sofie Sadolin Henningsen, 14, 1
Anne-Sofie Sadolin Henningsen, 15, 3
Anne-Sofie Sadolin Henningsen, 16, 4
Anne-Sofie Sadolin Henningsen, 17, 4
Anne-Sofie Sadolin Henningsen, 18, 1
Anne-Sofie Sadolin Henningsen, 19, 3
Anne-Sofie Sadolin Henningsen, 20, 3
Anne-Sofie Sadolin Henningsen, 21, 3
Anne-Sofie Sadolin Henningsen, 22, 3
Anne-Sofie Sadolin Henningsen, 23, 2
Anne-Sofie Sadolin Henningsen, 24, 3
Anne-Sofie Sadolin Henningsen, 25, 3
Charlotte Amdi Burgess, 1, 4
Charlotte Amdi Burgess, 2, 1
Charlotte Amdi Burgess, 3, 3
Charlotte Amdi Burgess, 4, 4
Charlotte Amdi Burgess, 5, 4
Charlotte Amdi Burgess, 6, 4
Charlotte Amdi Burgess, 7, 2
Charlotte Amdi Burgess, 8, 4
Charlotte Amdi Burgess, 9, 1
Charlotte Amdi Burgess, 10, 1
Charlotte Amdi Burgess, 11, 4
Charlotte Amdi Burgess, 12, 2
Charlotte Amdi Burgess, 13, 3
Charlotte Amdi Burgess, 14, 1
Charlotte Amdi Burgess, 15, 3
Charlotte Amdi Burgess, 16, 4
Charlotte Amdi Burgess, 17, 4
Charlotte Amdi Burgess, 18, 2
Charlotte Amdi Burgess, 19, 4
Charlotte Amdi Burgess, 20, 3
Charlotte Amdi Burgess, 21, 4
Charlotte Amdi Burgess, 22, 4
Charlotte Amdi Burgess, 23, 2
Charlotte Amdi Burgess, 24, 2
Charlotte Amdi Burgess, 25, 4
Kathrine Olldag, 1, 4
Kathrine Olldag, 2, 1
Kathrine Olldag, 3, 3
Kathrine Olldag, 4, 4
Kathrine Olldag, 5, 4
Kathrine Olldag, 6, 3
Kathrine Olldag, 7, 2
Kathrine Olldag, 8, 3
Kathrine Olldag, 9, 1
Kathrine Olldag, 10, 2
Kathrine Olldag, 11, 3
Kathrine Olldag, 12, 3
Kathrine Olldag, 13, 2
Kathrine Olldag, 14, 1
Kathrine Olldag, 15, 3
Kathrine Olldag, 16, 3
Kathrine Olldag, 17, 4
Kathrine Olldag, 18, 2
Kathrine Olldag, 19, 3
Kathrine Olldag, 20, 4
Kathrine Olldag, 21, 4
Kathrine Olldag, 22, 3
Kathrine Olldag, 23, 3
Kathrine Olldag, 24, 2
Kathrine Olldag, 25, 4
Frederik Aagaard Sørensen, 1, 4
Frederik Aagaard Sørensen, 2, 1
Frederik Aagaard Sørensen, 3, 3
Frederik Aagaard Sørensen, 4, 3
Frederik Aagaard Sørensen, 5, 3
Frederik Aagaard Sørensen, 6, 3
Frederik Aagaard Sørensen, 7, 2
Frederik Aagaard Sørensen, 8, 4
Frederik Aagaard Sørensen, 9, 1
Frederik Aagaard Sørensen, 10, 3
Frederik Aagaard Sørensen, 11, 4
Frederik Aagaard Sørensen, 12, 4
Frederik Aagaard Sørensen, 13, 3
Frederik Aagaard Sørensen, 14, 2
Frederik Aagaard Sørensen, 15, 3
Frederik Aagaard Sørensen, 16, 3
Frederik Aagaard Sørensen, 17, 4
Frederik Aagaard Sørensen, 18, 2
Frederik Aagaard Sørensen, 19, 3
Frederik Aagaard Sørensen, 20, 3
Frederik Aagaard Sørensen, 21, 3
Frederik Aagaard Sørensen, 22, 3
Frederik Aagaard Sørensen, 23, 2
Frederik Aagaard Sørensen, 24, 3
Frederik Aagaard Sørensen, 25, 3
Hediye Temiz, 1, 4
Hediye Temiz, 2, 1
Hediye Temiz, 3, 2
Hediye Temiz, 4, 3
Hediye Temiz, 5, 3
Hediye Temiz, 6, 3
Hediye Temiz, 7, 3
Hediye Temiz, 8, 3
Hediye Temiz, 9, 2
Hediye Temiz, 10, 2
Hediye Temiz, 11, 3
Hediye Temiz, 12, 3
Hediye Temiz, 13, 2
Hediye Temiz, 14, 2
Hediye Temiz, 15, 2
Hediye Temiz, 16, 3
Hediye Temiz, 17, 3
Hediye Temiz, 18, 2
Hediye Temiz, 19, 1
Hediye Temiz, 20, 2
Hediye Temiz, 21, 3
Hediye Temiz, 22, 3
Hediye Temiz, 23, 2
Hediye Temiz, 24, 2
Hediye Temiz, 25, 4
Jens Frost, 1, 4
Jens Frost, 2, 1
Jens Frost, 3, 3
Jens Frost, 4, 4
Jens Frost, 5, 4
Jens Frost, 6, 3
Jens Frost, 7, 2
Jens Frost, 8, 4
Jens Frost, 9, 1
Jens Frost, 10, 2
Jens Frost, 11, 3
Jens Frost, 12, 3
Jens Frost, 13, 2
Jens Frost, 14, 2
Jens Frost, 15, 3
Jens Frost, 16, 3
Jens Frost, 17, 4
Jens Frost, 18, 2
Jens Frost, 19, 3
Jens Frost, 20, 3
Jens Frost, 21, 4
Jens Frost, 22, 3
Jens Frost, 23, 3
Jens Frost, 24, 2
Jens Frost, 25, 4
João A. B. R. Møller, 1, 4
João A. B. R. Møller, 2, 1
João A. B. R. Møller, 3, 4
João A. B. R. Møller, 4, 4
João A. B. R. Møller, 5, 4
João A. B. R. Møller, 6, 3
João A. B. R. Møller, 7, 2
João A. B. R. Møller, 8, 4
João A. B. R. Møller, 9, 1
João A. B. R. Møller, 10, 4
João A. B. R. Møller, 11, 1
João A. B. R. Møller, 12, 1
João A. B. R. Møller, 13, 1
João A. B. R. Møller, 14, 1
João A. B. R. Møller, 15, 2
João A. B. R. Møller, 16, 4
João A. B. R. Møller, 17, 4
João A. B. R. Møller, 18, 2
João A. B. R. Møller, 19, 1
João A. B. R. Møller, 20, 4
João A. B. R. Møller, 21, 4
João A. B. R. Møller, 22, 3
João A. B. R. Møller, 23, 2
João A. B. R. Møller, 24, 1
João A. B. R. Møller, 25, 4
Jan Werner Mathiasen, 1, 4
Jan Werner Mathiasen, 2, 1
Jan Werner Mathiasen, 3, 2
Jan Werner Mathiasen, 4, 4
Jan Werner Mathiasen, 5, 2
Jan Werner Mathiasen, 6, 4
Jan Werner Mathiasen, 7, 3
Jan Werner Mathiasen, 8, 4
Jan Werner Mathiasen, 9, 1
Jan Werner Mathiasen, 10, 1
Jan Werner Mathiasen, 11, 4
Jan Werner Mathiasen, 12, 3
Jan Werner Mathiasen, 13, 2
Jan Werner Mathiasen, 14, 2
Jan Werner Mathiasen, 15, 2
Jan Werner Mathiasen, 16, 4
Jan Werner Mathiasen, 17, 4
Jan Werner Mathiasen, 18, 2
Jan Werner Mathiasen, 19, 3
Jan Werner Mathiasen, 20, 3
Jan Werner Mathiasen, 21, 3
Jan Werner Mathiasen, 22, 3
Jan Werner Mathiasen, 23, 3
Jan Werner Mathiasen, 24, 3
Jan Werner Mathiasen, 25, 4
Kim Pagels, 1, 4
Kim Pagels, 2, 1
Kim Pagels, 3, 3
Kim Pagels, 4, 3
Kim Pagels, 5, 3
Kim Pagels, 6, 3
Kim Pagels, 7, 2
Kim Pagels, 8, 4
Kim Pagels, 9, 2
Kim Pagels, 10, 2
Kim Pagels, 11, 3
Kim Pagels, 12, 3
Kim Pagels, 13, 3
Kim Pagels, 14, 1
Kim Pagels, 15, 2
Kim Pagels, 16, 3
Kim Pagels, 17, 3
Kim Pagels, 18, 2
Kim Pagels, 19, 3
Kim Pagels, 20, 3
Kim Pagels, 21, 3
Kim Pagels, 22, 3
Kim Pagels, 23, 2
Kim Pagels, 24, 2
Kim Pagels, 25, 3
Finn Hartvig Nielsen, 1, 4
Finn Hartvig Nielsen, 2, 1
Finn Hartvig Nielsen, 3, 3
Finn Hartvig Nielsen, 4, 3
Finn Hartvig Nielsen, 5, 3
Finn Hartvig Nielsen, 6, 3
Finn Hartvig Nielsen, 7, 1
Finn Hartvig Nielsen, 8, 4
Finn Hartvig Nielsen, 9, 1
Finn Hartvig Nielsen, 10, 1
Finn Hartvig Nielsen, 11, 3
Finn Hartvig Nielsen, 12, 3
Finn Hartvig Nielsen, 13, 1
Finn Hartvig Nielsen, 14, 2
Finn Hartvig Nielsen, 15, 2
Finn Hartvig Nielsen, 16, 4
Finn Hartvig Nielsen, 17, 4
Finn Hartvig Nielsen, 18, 1
Finn Hartvig Nielsen, 19, 3
Finn Hartvig Nielsen, 20, 4
Finn Hartvig Nielsen, 21, 4
Finn Hartvig Nielsen, 22, 3
Finn Hartvig Nielsen, 23, 4
Finn Hartvig Nielsen, 24, 2
Finn Hartvig Nielsen, 25, 4
Sissel Van Run-Kvist, 1, 4
Sissel Van Run-Kvist, 2, 1
Sissel Van Run-Kvist, 3, 3
Sissel Van Run-Kvist, 4, 4
Sissel Van Run-Kvist, 5, 4
Sissel Van Run-Kvist, 6, 3
Sissel Van Run-Kvist, 7, 2
Sissel Van Run-Kvist, 8, 3
Sissel Van Run-Kvist, 9, 2
Sissel Van Run-Kvist, 10, 2
Sissel Van Run-Kvist, 11, 3
Sissel Van Run-Kvist, 12, 3
Sissel Van Run-Kvist, 13, 3
Sissel Van Run-Kvist, 14, 1
Sissel Van Run-Kvist, 15, 2
Sissel Van Run-Kvist, 16, 3
Sissel Van Run-Kvist, 17, 3
Sissel Van Run-Kvist, 18, 2
Sissel Van Run-Kvist, 19, 3
Sissel Van Run-Kvist, 20, 4
Sissel Van Run-Kvist, 21, 4
Sissel Van Run-Kvist, 22, 3
Sissel Van Run-Kvist, 23, 3
Sissel Van Run-Kvist, 24, 2
Sissel Van Run-Kvist, 25, 4
Martin Schepelern, 1, 4
Martin Schepelern, 2, 1
Martin Schepelern, 3, 4
Martin Schepelern, 4, 4
Martin Schepelern, 5, 3
Martin Schepelern, 6, 2
Martin Schepelern, 7, 3
Martin Schepelern, 8, 3
Martin Schepelern, 9, 2
Martin Schepelern, 10, 3
Martin Schepelern, 11, 3
Martin Schepelern, 12, 4
Martin Schepelern, 13, 4
Martin Schepelern, 14, 1
Martin Schepelern, 15, 4
Martin Schepelern, 16, 2
Martin Schepelern, 17, 3
Martin Schepelern, 18, 2
Martin Schepelern, 19, 3
Martin Schepelern, 20, 3
Martin Schepelern, 21, 4
Martin Schepelern, 22, 3
Martin Schepelern, 23, 2
Martin Schepelern, 24, 4
Martin Schepelern, 25, 3
Michael Flarup, 1, 4
Michael Flarup, 2, 1
Michael Flarup, 3, 2
Michael Flarup, 4, 3
Michael Flarup, 5, 3
Michael Flarup, 6, 2
Michael Flarup, 7, 2
Michael Flarup, 8, 3
Michael Flarup, 9, 1
Michael Flarup, 10, 2
Michael Flarup, 11, 3
Michael Flarup, 12, 3
Michael Flarup, 13, 2
Michael Flarup, 14, 3
Michael Flarup, 15, 2
Michael Flarup, 16, 3
Michael Flarup, 17, 3
Michael Flarup, 18, 3
Michael Flarup, 19, 2
Michael Flarup, 20, 4
Michael Flarup, 21, 3
Michael Flarup, 22, 3
Michael Flarup, 23, 3
Michael Flarup, 24, 3
Michael Flarup, 25, 3
Asmus Vilster, 1, 4
Asmus Vilster, 2, 1
Asmus Vilster, 3, 3
Asmus Vilster, 4, 4
Asmus Vilster, 5, 4
Asmus Vilster, 6, 3
Asmus Vilster, 7, 2
Asmus Vilster, 8, 4
Asmus Vilster, 9, 1
Asmus Vilster, 10, 2
Asmus Vilster, 11, 3
Asmus Vilster, 12, 3
Asmus Vilster, 13, 3
Asmus Vilster, 14, 1
Asmus Vilster, 15, 3
Asmus Vilster, 16, 3
Asmus Vilster, 17, 4
Asmus Vilster, 18, 2
Asmus Vilster, 19, 3
Asmus Vilster, 20, 3
Asmus Vilster, 21, 4
Asmus Vilster, 22, 3
Asmus Vilster, 23, 3
Asmus Vilster, 24, 2
Asmus Vilster, 25, 3
Nikolai Tange, 1, 4
Nikolai Tange, 2, 2
Nikolai Tange, 3, 3
Nikolai Tange, 4, 3
Nikolai Tange, 5, 3
Nikolai Tange, 6, 3
Nikolai Tange, 7, 4
Nikolai Tange, 8, 3
Nikolai Tange, 9, 2
Nikolai Tange, 10, 2
Nikolai Tange, 11, 3
Nikolai Tange, 12, 3
Nikolai Tange, 13, 3
Nikolai Tange, 14, 2
Nikolai Tange, 15, 3
Nikolai Tange, 16, 3
Nikolai Tange, 17, 3
Nikolai Tange, 18, 2
Nikolai Tange, 19, 2
Nikolai Tange, 20, 1
Nikolai Tange, 21, 4
Nikolai Tange, 22, 3
Nikolai Tange, 23, 2
Nikolai Tange, 24, 2
Nikolai Tange, 25, 3
Lars Fogh Mortensen, 1, 4
Lars Fogh Mortensen, 2, 1
Lars Fogh Mortensen, 3, 3
Lars Fogh Mortensen, 4, 3
Lars Fogh Mortensen, 5, 3
Lars Fogh Mortensen, 6, 2
Lars Fogh Mortensen, 7, 2
Lars Fogh Mortensen, 8, 4
Lars Fogh Mortensen, 9, 1
Lars Fogh Mortensen, 10, 3
Lars Fogh Mortensen, 11, 3
Lars Fogh Mortensen, 12, 3
Lars Fogh Mortensen, 13, 2
Lars Fogh Mortensen, 14, 2
Lars Fogh Mortensen, 15, 2
Lars Fogh Mortensen, 16, 2
Lars Fogh Mortensen, 17, 4
Lars Fogh Mortensen, 18, 2
Lars Fogh Mortensen, 19, 2
Lars Fogh Mortensen, 20, 4
Lars Fogh Mortensen, 21, 4
Lars Fogh Mortensen, 22, 3
Lars Fogh Mortensen, 23, 3
Lars Fogh Mortensen, 24, 2
Lars Fogh Mortensen, 25, 3
Lartey Lawson, 1, 4
Lartey Lawson, 2, 1
Lartey Lawson, 3, 3
Lartey Lawson, 4, 3
Lartey Lawson, 5, 4
Lartey Lawson, 6, 2
Lartey Lawson, 7, 3
Lartey Lawson, 8, 4
Lartey Lawson, 9, 1
Lartey Lawson, 10, 3
Lartey Lawson, 11, 3
Lartey Lawson, 12, 3
Lartey Lawson, 13, 1
Lartey Lawson, 14, 1
Lartey Lawson, 15, 2
Lartey Lawson, 16, 4
Lartey Lawson, 17, 3
Lartey Lawson, 18, 3
Lartey Lawson, 19, 1
Lartey Lawson, 20, 4
Lartey Lawson, 21, 4
Lartey Lawson, 22, 4
Lartey Lawson, 23, 3
Lartey Lawson, 24, 2
Lartey Lawson, 25, 4
Niels Flemming Hansen, 1, 3
Niels Flemming Hansen, 2, 2
Niels Flemming Hansen, 3, 2
Niels Flemming Hansen, 4, 4
Niels Flemming Hansen, 5, 2
Niels Flemming Hansen, 6, 2
Niels Flemming Hansen, 7, 3
Niels Flemming Hansen, 8, 3
Niels Flemming Hansen, 9, 2
Niels Flemming Hansen, 10, 3
Niels Flemming Hansen, 11, 3
Niels Flemming Hansen, 12, 3
Niels Flemming Hansen, 13, 4
Niels Flemming Hansen, 14, 2
Niels Flemming Hansen, 15, 4
Niels Flemming Hansen, 16, 2
Niels Flemming Hansen, 17, 3
Niels Flemming Hansen, 18, 2
Niels Flemming Hansen, 19, 4
Niels Flemming Hansen, 20, 1
Niels Flemming Hansen, 21, 3
Niels Flemming Hansen, 22, 2
Niels Flemming Hansen, 23, 1
Niels Flemming Hansen, 24, 3
Niels Flemming Hansen, 25, 2
Marcus Knuth, 1, 3
Marcus Knuth, 2, 2
Marcus Knuth, 3, 3
Marcus Knuth, 4, 3
Marcus Knuth, 5, 2
Marcus Knuth, 6, 2
Marcus Knuth, 7, 3
Marcus Knuth, 8, 3
Marcus Knuth, 9, 2
Marcus Knuth, 10, 3
Marcus Knuth, 11, 2
Marcus Knuth, 12, 4
Marcus Knuth, 13, 3
Marcus Knuth, 14, 2
Marcus Knuth, 15, 4
Marcus Knuth, 16, 3
Marcus Knuth, 17, 2
Marcus Knuth, 18, 3
Marcus Knuth, 19, 4
Marcus Knuth, 20, 1
Marcus Knuth, 21, 4
Marcus Knuth, 22, 2
Marcus Knuth, 23, 1
Marcus Knuth, 24, 2
Marcus Knuth, 25, 2
Birgitte Bergman, 1, 4
Birgitte Bergman, 2, 2
Birgitte Bergman, 3, 2
Birgitte Bergman, 4, 4
Birgitte Bergman, 5, 3
Birgitte Bergman, 6, 2
Birgitte Bergman, 7, 3
Birgitte Bergman, 8, 3
Birgitte Bergman, 9, 1
Birgitte Bergman, 10, 4
Birgitte Bergman, 11, 3
Birgitte Bergman, 12, 4
Birgitte Bergman, 13, 4
Birgitte Bergman, 14, 2
Birgitte Bergman, 15, 4
Birgitte Bergman, 16, 3
Birgitte Bergman, 17, 4
Birgitte Bergman, 18, 2
Birgitte Bergman, 19, 4
Birgitte Bergman, 20, 1
Birgitte Bergman, 21, 3
Birgitte Bergman, 22, 3
Birgitte Bergman, 23, 1
Birgitte Bergman, 24, 2
Birgitte Bergman, 25, 1
Maria Pryds, 1, 3
Maria Pryds, 2, 2
